"","gruppe","tid","meanll","sd","test"
"1","1","1",71.1625,7.43593751094418,"bw"
"2","1","2",71.28125,7.51808652517381,"bw"
"3","2","1",74.2764705882353,10.0549446425481,"bw"
"4","2","2",75.0882352941177,10.24242905473,"bw"
"5","1","1",437.20535206016,84.0041594400709,"hc"
"6","1","2",436.787907750778,102.336588395089,"hc"
"7","2","1",435.086555152133,81.8014568384584,"hc"
"8","2","2",445.327698044604,83.9885062284573,"hc"
"9","1","1",423.523459838748,95.6589446307396,"vc"
"10","1","2",435.032379471282,98.9182332821323,"vc"
"11","2","1",434.542049216821,82.9965462193514,"vc"
"12","2","2",430.747183105708,84.459424062178,"vc"
"13","1","1",125.984964586094,25.5737311447174,"hp"
"14","1","2",132.240311020104,27.8679540353714,"hp"
"15","2","1",139.6324892154,35.5379708940051,"hp"
"16","2","2",140.374211255221,36.3444753326136,"hp"
"17","1","1",123.886494755634,25.441220708892,"vp"
"18","1","2",133.731114814881,34.2755540322569,"vp"
"19","2","1",138.658594048808,29.1678128320992,"vp"
"20","2","2",138.363972962089,30.5864568790677,"vp"
"21","1","1",14.16875,4.68994936006776,"pull ups"
"22","1","2",15.0625,4.96680648572769,"pull ups"
"23","2","1",13.2,4.23113459960801,"pull ups"
"24","2","2",13.79375,4.6119365057786,"pull ups"
"25","1","1",34.52375,15.5053276327848,"lattice"
"26","1","2",35.2175,14.9520199304308,"lattice"
"27","2","1",28.9864705882353,11.7655067576669,"lattice"
"28","2","2",30.70375,14.4117076827603,"lattice"
"29","1","1",23.125625,13.4034960458083,"lockoff_left"
"30","1","2",25.8206666666667,14.1905705445888,"lockoff_left"
"31","2","1",21.6717647058824,10.5147231509525,"lockoff_left"
"32","2","2",29.07875,11.1093965482679,"lockoff_left"
"33","1","1",25.216875,11.6506559007065,"lockoff_right"
"34","1","2",27.448125,12.956333441603,"lockoff_right"
"35","2","1",23.5388235294118,11.0013032650415,"lockoff_right"
"36","2","2",29.34875,11.7034438663726,"lockoff_right"
"37","1","1",14.0625,7.73277656041692,"moonbard"
"38","1","2",11.5625,8.86918823793925,"moonbard"
"39","2","1",11.2941176470588,8.00597203563028,"moonbard"
"40","2","2",9.5,7.18331399842719,"moonbard"
